Node, x_pos, y_pos, target_x, target_y
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 14.3475, 13.884, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 15, 15, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
